segment_id,predicted_label,video_sentiment_class,audio_label,audio_gt,post_fusion
-3g5yACwYnA,2,1,0,1,1
-yRb-Jum7EQ,0,0,1,1,0
0zl_GDVzykw,1,1,1,0,1
1HK7Nea0PFo,2,1,0,1,1
2c6Gb73nx4E,2,2,2,1,2
2w7rpDe-HoA,1,0,2,0,1
31tcuDMQ_H8,0,0,0,1,0
3B1zIUj-k3o,0,2,0,0,0
3HRnhUin-5g,2,0,0,0,0
4poXF3xo6Z8,2,2,1,2,2
5IhAgV0Bf_4,2,0,2,1,2
6MloL1gIccs,2,2,0,1,2
708sewcSXVY,0,0,1,1,0
7xiu1tAJ2d8,2,2,1,1,2
8EHEEXex5D8,2,0,0,2,0
8wQhzezNcUY,2,1,0,1,1
9Un1O2ypJmI,2,2,0,2,2
9tX18DNC74w,2,0,2,1,2
ALlKbGE6BH0,0,2,2,2,2
Arh2TKRi_mg,2,2,1,1,2
CXojk-oSaEw,0,1,2,0,1
CZVmxwrWv34,2,2,2,1,2
DfTMoqwMHVE,0,1,1,2,1
DiOw-w5LDJ0,2,2,0,1,2
Dm8AL84e11w,0,0,2,1,0
EO_5o9Gup6g,0,0,0,0,0
ET1cU5_A2YM,0,0,1,1,0
Es9MkKsMsjU,0,2,2,0,2
G38DwNDQ8Cc,0,0,0,0,0
G8aL3bM39co,2,2,0,2,2
GMnoxaqqReQ,1,2,1,0,1
GOj7TBcEA8E,2,0,1,2,1
GUffC7vu9zA,2,1,0,1,1
H4RysMUSQD8,2,1,0,1,1
HIsJqphLCyw,1,2,0,1,1
HJTxq72GuMs,2,2,2,0,2
HOCsiS0pmf0,0,2,2,0,2
HWLpH3NMtFs,1,0,2,0,1
HXuRR2eBHHQ,2,0,2,2,2
J3-NEG8uoiE,2,2,2,2,2
JHJOK6cdW-0,2,0,0,1,0
JWG_MUy7EWQ,2,0,2,1,2
KI2sU-mhM44,2,2,2,0,2
K_K3wpxkRc8,2,0,2,1,2
MOfEl_1dh-g,1,1,0,1,1
MSmTFZ_-THM,2,1,2,1,2
N0GhVkCwrqw,1,0,2,2,1
N4WOBzpZtWM,1,2,2,2,2
NocexkPXja8,0,2,0,0,0
NzpymNJaFjo,0,1,2,2,1
OFBc3z99bIc,2,0,2,2,2
OSyKmOye5Uo,2,0,0,2,0
P35dyIit1yM,2,1,2,2,2
PANWQeBKStk,2,1,2,2,2
PmemTgQHagk,2,2,2,2,2
Q8naC1qriIU,0,1,2,2,1
QUpI5kMw_nA,2,2,1,2,2
R7IkQVUuLew,2,0,0,2,0
R9ypacCuEZo,2,2,1,0,2
RVC8l5hf2Eg,2,0,0,0,0
SzJf6viBWBg,0,2,0,1,0
TYJzg5IJN8o,2,2,2,1,2
UuR4Rw38v_U,0,0,0,1,0
VUrTT7xsrec,0,0,0,2,0
VZqkWIPmH6w,2,0,0,0,0
Vdf1McvE9ao,2,1,0,0,1
Vlas-mPydcg,2,0,0,2,0
Vuay0mVKkik,2,0,2,0,2
Vv2DTPyyw90,2,2,0,1,2
Vx8npmcFxak,2,2,2,2,2
WANirpnKa4w,2,0,1,1,1
X3p50qqFW_w,2,0,2,2,2
YEOU4KFDjZo,2,0,0,1,0
YcJ5RJYUr7Y,2,2,2,2,2
Yi6Qyn4X8is,2,1,2,0,2
ZfQYEa2fHGo,1,1,2,1,1
_gr7o5ynhnw,2,0,2,2,2
_q7DM8WkzAQ,2,0,0,0,0
_v8c7iWkYz0,2,2,1,2,2
ahG9c_uaf8s,2,2,1,1,2
ak7N0BqMluI,0,2,0,0,0
avW2m6VHTyg,2,2,2,2,2
b92iw0OAnI4,2,0,0,1,0
ey1lr8wFFDc,0,1,0,1,0
fB816aeHRFk,1,1,1,1,1
fT6SrlsWV7M,2,0,0,0,0
fhADeWE5VgU,0,2,0,1,0
fsd1qPLA3kY,2,2,0,2,2
g8Cl74tS3oY,2,0,2,2,2
gL8h7lOPv1Q,2,1,0,1,1
goMtnNHQ_z4,2,2,0,0,2
hF6kFQPdBjY,2,1,2,0,2
hIQhkTjNaQc,2,0,2,2,2
hhK7q30p0Jk,2,2,0,2,2
iEOBNT0HFtU,2,0,2,0,2
iMG962Rj3Vw,2,2,2,2,2
ihPjsliqz5o,2,1,2,1,2
izFBeXMTgds,2,2,2,2,2
jYT3-RQFy1U,0,1,0,0,0
kPch8YhNfPE,2,1,0,2,1
kaudsLIvYC8,2,2,2,2,2
ku-dtUqCm2o,2,2,1,1,2
lxBKEPIUSgc,0,0,2,0,0
mLW-jn67gRE,2,1,2,1,2
mO4H5S_Q7aU,2,0,2,2,2
mW8eL4e7Wrg,2,0,1,2,1
mjQfQx2K__8,0,0,0,0,0
npIVLL_fTf0,1,2,0,0,1
