key,sentiment_score,confidence_score,negation_score,uncertainty_score,hedging_score,subjectivity_score,polarity_score
--qXJuDtHPw[0],1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[0],1.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
-3g5yACwYnA[1],0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[2],0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
-3g5yACwYnA[3],0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-3g5yACwYnA[4],1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[5],0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.33333334
-3nNcZdcdvU[0],0.33333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU[1],1.0,2.3333333,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU[2],0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ[1],-0.6666667,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-571d8cVauQ[2],0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-6rXp3zJ3kc[0],0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0
-6rXp3zJ3kc[1],-1.0,0.0,0.33333334,0.0,0.0,0.0,0.0
-6rXp3zJ3kc[2],0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0
-9YyBTjo1zo[0],-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-9YyBTjo1zo[1],-1.0,0.0,0.0,0.33333334,0.0,0.0,0.0
-9YyBTjo1zo[2],2.0,2.6666667,0.0,0.0,0.33333334,0.0,0.0
-9YyBTjo1zo[3],-0.33333334,0.33333334,0.0,0.33333334,0.0,0.6666667,0.0
-9YyBTjo1zo[4],-1.6666666,1.0,0.0,0.0,0.33333334,1.0,0.0
-9y-fZ3swSY[0],1.0,1.3333334,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[1],1.3333334,1.0,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[2],0.33333334,1.3333334,0.0,0.0,0.33333334,0.0,0.0
-9y-fZ3swSY[3],1.3333334,1.0,0.0,0.33333334,1.0,0.0,0.0
-9y-fZ3swSY[4],0.0,0.33333334,0.6666667,0.0,0.0,0.0,0.0
-9y-fZ3swSY[5],-0.33333334,0.33333334,0.0,1.0,0.0,0.0,0.0
-9y-fZ3swSY[6],0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[7],1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-AUZQgSxyPQ[0],0.6666667,0.0,0.0,0.0,0.0,0.0,0.6666667
-Alixo7euuU[0],0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU[10],0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[11],0.33333334,1.0,0.33333334,0.0,0.0,0.33333334,0.0
-Alixo7euuU[12],1.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[13],0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU[1],0.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[2],1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[3],0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[4],-0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[5],0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.33333334
-Alixo7euuU[6],0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[7],-0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334
-Alixo7euuU[8],0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.33333334
-Alixo7euuU[9],0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.6666667
-Eqdz5y4pEY[0],-0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[0],1.3333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[1],0.6666667,1.3333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[2],1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[3],-0.6666667,0.6666667,0.0,0.33333334,0.0,0.6666667,0.0
-HvKLjmsO5U[0],1.3333334,0.33333334,0.0,0.0,0.0,0.0,0.33333334
-HvKLjmsO5U[1],1.0,1.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY[1],-0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
